name,team,position,fpoints_ppr,games,player_url,fpoints_ppr_per_game
Dameon Pierce,HOU,RB,46.5,11,/players/P/PierDa01.htm,4.2272727272727275
Trey Benson,ARI,RB,50.0,13,/players/B/BensTr01.htm,3.8461538461538463
Rashee Rice,KAN,WR,67.9,4,/players/R/RiceRa01.htm,16.975
Justin Watson,KAN,WR,65.9,17,/players/W/WatsJu01.htm,3.8764705882352946
Van Jefferson,PIT,WR,66.6,17,/players/J/JeffVa00.htm,3.9176470588235293
Kalif Raymond,DET,WR,59.5,12,/players/R/RaymKa00.htm,4.958333333333333
Ja'Tavion Sanders,CAR,TE,76.2,16,/players/S/SandJa01.htm,4.7625
Tyler Boyd,TEN,WR,81.3,16,/players/B/BoydTy00.htm,5.08125
Emari Demercado,ARI,RB,60.7,13,/players/D/DemeEm00.htm,4.6692307692307695
Troy Franklin,DEN,WR,70.1,16,/players/F/FranTr00.htm,4.38125
Theo Johnson,NYG,TE,71.1,12,/players/J/JohnTh00.htm,5.925
Kyle Juszczyk,SFO,FB,61.6,17,/players/J/JuszKy00.htm,3.623529411764706
Trey Sermon,IND,RB,56.8,17,/players/S/SermTr00.htm,3.341176470588235
Brandon Aiyuk,SFO,WR,65.4,7,/players/A/AiyuBr00.htm,9.342857142857143
Kendrick Bourne,NWE,WR,68.1,12,/players/B/BourKe00.htm,5.675
Dyami Brown,WAS,WR,71.4,16,/players/B/BrowDy00.htm,4.4625
Isaiah Davis,NYJ,RB,48.9,17,/players/D/DaviIs00.htm,2.876470588235294
Dawson Knox,BUF,TE,62.1,16,/players/K/KnoxDa00.htm,3.88125
Dare Ogunbowale,HOU,RB,62.0,17,/players/O/OgunDa00.htm,3.6470588235294117
Grant Calcaterra,PHI,TE,62.8,17,/players/C/CalcGr00.htm,3.6941176470588233
Mike Williams,2TM,WR,59.8,18,/players/W/WillMi07.htm,3.322222222222222
Nelson Agholor,BAL,WR,52.1,14,/players/A/AghoNe00.htm,3.7214285714285715
Tyler Johnson,LAR,WR,64.1,15,/players/J/JohnTy00.htm,4.2733333333333325
Colby Parkinson,LAR,TE,68.4,17,/players/P/ParkCo02.htm,4.023529411764706
JuJu Smith-Schuster,KAN,WR,56.1,14,/players/S/SmitJu00.htm,4.007142857142857
Gabriel Davis,JAX,WR,57.9,10,/players/D/DaviGa01.htm,5.79
Tyler Goodson,IND,RB,47.4,16,/players/G/GoodTy00.htm,2.9625
Lil'Jordan Humphrey,DEN,WR,68.3,17,/players/H/HumpLi01.htm,4.017647058823529
Christian McCaffrey,SFO,RB,54.8,4,/players/M/McCaCh01.htm,13.7
Curtis Samuel,BUF,WR,66.7,14,/players/S/SamuCu00.htm,4.764285714285714
Tommy Tremble,CAR,TE,60.4,12,/players/T/TremTo00.htm,5.033333333333333
Josh Whyle,TEN,TE,63.8,17,/players/W/WhylJo01.htm,3.7529411764705882
Nick Vannett,TEN,TE,51.5,17,/players/V/VannNi00.htm,3.0294117647058822
Chris Brooks,GNB,RB,45.2,15,/players/B/BrooCh00.htm,3.0133333333333336
Joshua Dobbs,SFO,QB,36.8,2,/players/D/DobbJo00.htm,18.4
John Metchie,HOU,WR,58.4,13,/players/M/MetcJo00.htm,4.492307692307692
Adonai Mitchell,IND,WR,57.8,17,/players/M/MitcAd00.htm,3.4
Chris Rodriguez,WAS,RB,34.5,9,/players/R/RodrCh00.htm,3.8333333333333335
Adam Trautman,DEN,TE,46.8,17,/players/T/TrauAd00.htm,2.7529411764705882
DJ Turner,LVR,WR,50.1,12,/players/T/TurnDJ00.htm,4.175
Jordan Whittington,LAR,WR,55.5,15,/players/W/WhitJo04.htm,3.7
Nate Adkins,DEN,TE,46.5,17,/players/A/AdkiNa00.htm,2.735294117647059
Hassan Haskins,LAC,RB,33.8,17,/players/H/HaskHa00.htm,1.9882352941176469
Luke Schoonmaker,DAL,TE,60.1,17,/players/S/SchoLu00.htm,3.5352941176470587
Cedrick Wilson Jr.,NOR,WR,53.9,15,/players/W/WilsCe01.htm,3.5933333333333333
Elijah Higgins,ARI,TE,52.2,17,/players/H/HiggEl00.htm,3.070588235294118
Tanner McKee,PHI,QB,31.8,2,/players/M/McKeTa01.htm,15.9
Malik Washington,MIA,WR,58.8,14,/players/W/WashMa00.htm,4.2
Kimani Vidal,LAC,RB,35.7,10,/players/V/VidaKi00.htm,3.5700000000000003
Jamaal Williams,NOR,RB,40.1,14,/players/W/WillJa06.htm,2.8642857142857143
Blake Corum,LAR,RB,36.5,17,/players/C/CoruBl00.htm,2.1470588235294117
Derius Davis,LAC,WR,43.1,15,/players/D/DaviDe02.htm,2.8733333333333335
D'Onta Foreman,CLE,RB,36.6,11,/players/F/ForeDO00.htm,3.3272727272727276
Patrick Taylor,SFO,RB,32.8,13,/players/T/TaylPa01.htm,2.523076923076923
Johnny Mundt,MIN,TE,48.2,17,/players/M/MundJo00.htm,2.835294117647059
Cordarrelle Patterson,PIT,RB,41.5,13,/players/P/PattCo00.htm,3.1923076923076925
Darnell Washington,PIT,TE,48.0,17,/players/W/WashDa03.htm,2.823529411764706
Michael Carter,ARI,RB,38.8,3,/players/C/CartMi03.htm,12.933333333333332
KhaDarel Hodge,ATL,WR,35.1,17,/players/H/HodgKh00.htm,2.0647058823529414
Ryan Miller,TAM,WR,39.8,11,/players/M/MillRy01.htm,3.6181818181818177
Kenny Pickett,PHI,QB,26.1,5,/players/P/PickKe00.htm,5.220000000000001
Josh Reynolds,2TM,WR,41.4,9,/players/R/ReynJo00.htm,4.6
Tylan Wallace,BAL,WR,39.3,17,/players/W/WallTy00.htm,2.3117647058823527
Jalen Brooks,DAL,WR,38.7,14,/players/B/BrooJa03.htm,2.7642857142857147
